              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp   repl   feas          seed
   del-n1000-k10-s8165   1000   10  1800.0004   510.8151    3.1933   710.3117  0.0000  402.9598   9281   6403     443551453
   del-n1000-k10-s8165   1000   10  1800.0004   427.9286    4.1894  1283.5811  0.0000  402.9598   9411   6513    3901548546
   del-n1000-k10-s8165   1000   10  1800.0004   307.7545    2.1517   978.6159  0.0000  402.4459   9374   6464    3257906557
   del-n1000-k10-s8165   1000   10  1800.0003   250.0971    7.4128   867.9156  0.0000  404.8761   9236   6369     382954837
   del-n1000-k10-s8165   1000   10  1800.0008    21.3268    3.7667   828.3126  0.0000  402.9598   9290   6406     565086087
   del-n1000-k10-s8165   1000   10  1800.0005  1141.5980    6.5506   966.0764  0.0000  403.4401   9341   6430    3345667743
   del-n1000-k10-s8165   1000   10  1800.0005   815.6980    6.3467   874.9707  0.0000  402.9598   9461   6550    4024066318
   del-n1000-k10-s8165   1000   10  1800.0004   257.2637    6.6580   893.2679  0.0000  404.8761   9327   6426    4070892125
   del-n1000-k10-s8165   1000   10  1800.0005  1768.7118    8.5609   828.3126  0.0000  404.8761   9430   6549     837977151
   del-n1000-k10-s8165   1000   10  1800.0006   257.0083    5.7314   978.6159  0.0000  402.4459   9450   6542    2657091600
  del-n1000-k16-s51680   1000   16  1800.0006   708.9824   11.3062   738.1868  0.0000  322.1451   8896   6452    3989551396
  del-n1000-k16-s51680   1000   16  1800.0005  1674.7187   13.6683   616.1077  0.0000  327.2581   8953   6448     414875649
  del-n1000-k16-s51680   1000   16  1800.0005  1534.2578   11.3830  1231.1852  0.0000  314.5984   8854   6361    1695221318
  del-n1000-k16-s51680   1000   16  1800.0005  1102.6736    7.8596  1013.9561  0.0000  318.6412   8934   6516     838960032
  del-n1000-k16-s51680   1000   16  1800.0004  1031.4523   14.7578   756.6461  0.0000  321.2040   8938   6519    1001689046
  del-n1000-k16-s51680   1000   16  1800.0004   105.6603    9.1138   912.2305  0.0000  322.0963   8899   6456     279614663
  del-n1000-k16-s51680   1000   16  1800.0006  1641.4151   13.2260   793.3932  0.0000  327.9869   8891   6455    3404334167
  del-n1000-k16-s51680   1000   16  1800.0005   127.8656   12.5001   912.2305  0.0000  327.7021   8940   6482    4294945773
  del-n1000-k16-s51680   1000   16  1800.0006   851.0959   13.1045   867.3696  0.0000  328.3110   8831   6400     929213799
  del-n1000-k16-s51680   1000   16  1800.0004   539.5514   10.8091   646.0807  0.0000  318.6412   8791   6454    2313885580
   del-n1000-k5-s33335   1000    5  1800.0005    21.6778    1.6691  1015.1200  0.0000  610.6529  20733  20531    2049355961
   del-n1000-k5-s33335   1000    5  1800.0005    18.2613    2.3954  1137.7355  0.0000  610.6529  20739  20522     623719724
   del-n1000-k5-s33335   1000    5  1800.0005     7.8134    2.2499  1015.1200  0.0000  610.6529  20888  20705    3177229369
   del-n1000-k5-s33335   1000    5  1800.0004    32.9387    1.2682   862.0210  0.0000  610.6529  20911  20694     253452308
   del-n1000-k5-s33335   1000    5  1800.0005    13.6747    2.3565   918.7423  0.0000  610.6529  20889  20702     725233125
   del-n1000-k5-s33335   1000    5  1800.0006     1.6184    2.7008   826.2040  0.0000  610.6529  20903  20712    1729824968
   del-n1000-k5-s33335   1000    5  1800.0004     8.1577    1.7150  1017.8765  0.0000  610.6529  20866  20648    2305191243
   del-n1000-k5-s33335   1000    5  1800.0006     0.2383    2.8265   928.3402  0.0000  610.6529  20978  20789     618116026
   del-n1000-k5-s33335   1000    5  1800.0006     1.7377    2.0075   911.0144  0.0000  610.6529  20705  20514    1477374674
   del-n1000-k5-s33335   1000    5  1800.0006     5.0051    2.1804   907.6888  0.0000  610.6529  20766  20549     520439676
del-n10000-k100-s46796  10000  100  1800.0020  1487.5685   55.2038   498.4081  0.0000  193.2135   1392    581    1597972934
del-n10000-k100-s46796  10000  100  1800.0022   810.8059   55.7615   623.6030  0.0000  179.6236   1391    586    3020912061
del-n10000-k100-s46796  10000  100  1800.0023  1606.6428   65.4690   664.8424  0.0000  154.3360   1361    542    2546265417
del-n10000-k100-s46796  10000  100  1800.0024   963.8755   61.7985   633.8964  0.0000  160.9659   1372    546    1561222702
del-n10000-k100-s46796  10000  100  1800.0023   652.1633   74.4040   924.1494  0.0000  158.2523   1374    565    1829040444
del-n10000-k100-s46796  10000  100  1800.0022   366.4327   55.6825   551.2213  0.0000  158.0785   1372    573    1915587538
del-n10000-k100-s46796  10000  100  1800.0022  1178.5462   70.9252   384.9109  0.0000  166.9759   1391    592    3592628785
del-n10000-k100-s46796  10000  100  1800.0024  1774.7642   59.6859   679.4902  0.0000  161.2058   1356    558    2779905531
del-n10000-k100-s46796  10000  100  1800.0003  1642.7515   74.9210   383.6817  0.0000  157.3627   1362    586    1131734414
del-n10000-k100-s46796  10000  100  1800.0026   692.3661   66.2155   489.2995  0.0000  158.1274   1365    565    1034314542
del-n10000-k160-s41175  10000  160  1800.0025   996.6911   98.1801   527.6609  0.0000  262.4003   1077      8     912332208
del-n10000-k160-s41175  10000  160  1800.0032   902.0552  120.4903   653.2195  0.0000  277.1571   1072      7    1149520697
del-n10000-k160-s41175  10000  160  1800.0050    90.7958  116.3176   518.3008  0.0000  210.4753   1080      7    1325672707
del-n10000-k160-s41175  10000  160  1800.0023  1746.6389  101.8728   533.1630  0.0000  199.7735   1069     13    1973865334
del-n10000-k160-s41175  10000  160  1800.0025   913.8669   97.2061   521.6661  0.0000  333.2134   1075      2    2078109996
del-n10000-k160-s41175  10000  160  1800.0033  1009.8182  113.7170   624.3011  0.0000  315.2599   1080     11    1263627026
del-n10000-k160-s41175  10000  160  1800.0024   888.1217  117.0722   587.3949  0.0000  380.2525   1083      8    4182492650
del-n10000-k160-s41175  10000  160  1800.0024   340.5401  101.0812   633.6893  0.0000  255.5109   1057      9     477156573
del-n10000-k160-s41175  10000  160  1800.0028   198.5123  101.0192   339.2310  0.0000  225.2533   1071      8     701746621
del-n10000-k160-s41175  10000  160  1800.0035   451.3754  105.6000   564.4943  0.0000  180.9230   1079      7     340747197
  del-n10000-k50-s4699  10000   50  1800.0016  1095.2593   33.2725   482.9700  0.0000  212.2010   1790   1647    2503306494
  del-n10000-k50-s4699  10000   50  1800.0014  1743.3689   28.0215   663.2621  0.0000  196.6505   1805   1691    3569384790
  del-n10000-k50-s4699  10000   50  1800.0020   752.7013   31.8860   905.2634  0.0000  209.9524   1775   1649    1859405587
  del-n10000-k50-s4699  10000   50  1800.0022    73.7750   22.8723   482.4578  0.0000  194.3652   1827   1710    4117287468
  del-n10000-k50-s4699  10000   50  1800.0020  1006.5652   27.5969   549.6649  0.0000  207.1399   1786   1667    1283459420
  del-n10000-k50-s4699  10000   50  1800.0017   871.0170   21.7509   738.6925  0.0000  208.6027   1771   1642     250950966
  del-n10000-k50-s4699  10000   50  1800.0015   410.3883   28.7611   976.2984  0.0000  209.9826   1800   1683    3788232669
  del-n10000-k50-s4699  10000   50  1800.0023  1446.5945   35.8678   976.2984  0.0000  194.1856   1786   1664     187117967
  del-n10000-k50-s4699  10000   50  1800.0016  1231.6638   24.1817   550.1775  0.0000  202.7159   1813   1702    2108935408
  del-n10000-k50-s4699  10000   50  1800.0018  1433.8207   29.4763   721.9126  0.0000  204.1321   1868   1761    2155370204
  del-n2500-k12-s12455   2500   12  1800.0008   645.1710    9.4896  1004.9756  0.0000  381.7280  10042  10029     148566045
  del-n2500-k12-s12455   2500   12  1800.0006   561.5001    7.6025   742.1695  0.0000  378.3852  10014   9998    2249227095
  del-n2500-k12-s12455   2500   12  1800.0006   518.7832    8.9988   815.6842  0.0000  378.3852  10046  10030    1543041327
  del-n2500-k12-s12455   2500   12  1800.0008  1143.0432    8.7152   788.3531  0.0000  378.9436  10091  10073    1842212620
  del-n2500-k12-s12455   2500   12  1800.0003  1118.4272    7.8870   966.5520  0.0000  378.9436  10329  10313    2258145152
  del-n2500-k12-s12455   2500   12  1800.0006  1427.1138    6.7073   966.5520  0.0000  378.7296  10157  10140     583498924
