instance    n   k       time        ttb  cons_bal  cons_cmp     bal      cmp   repl   feas        seed
 d500-01  500  10  1800.0006   128.7934    1.3901   47.1060  0.0000  38.2335  30094  15608  1237302466
 d500-01  500  10  1800.0021   218.6918    1.8739   80.8574  0.0000  38.2335  30148  15764   770401321
 d500-01  500  10  1800.0006    78.4326    0.2262   57.1439  0.0000  38.2335  29794  15509  1961818508
 d500-01  500  10  1800.0005    21.1928    1.9417   51.1967  0.0000  38.2335  29978  15493  4218323443
 d500-01  500  10  1800.0006    69.4979    2.3015   52.4345  0.0000  38.2335  29846  15435  3976470366
 d500-01  500  10  1800.0006    23.3094    0.3976   55.3995  0.0000  38.2335  29996  15650  2814487589
 d500-01  500  10  1800.0005     5.8744    1.1598   54.8398  0.0000  38.2335  30037  15542  1568447329
 d500-01  500  10  1800.0006    93.3822    1.0248   52.5097  0.0000  38.2335  29888  15506  4022544543
 d500-01  500  10  1800.0006    50.8515    3.2006   58.6817  0.0000  38.2335  30131  15474   586774003
 d500-01  500  10  1800.0007    44.3063    0.7982   49.9954  0.0000  38.2335  29817  15325  2411848362
 d500-02  500  10  1800.0004   269.5844    0.7160   71.6461  0.0000  39.4317  23309   7776  3073434245
 d500-02  500  10  1800.0004   145.9594    0.5865   48.8215  0.0000  39.4317  23376   7674  1956234623
 d500-02  500  10  1800.0005  1139.3703    4.5409   48.3882  0.0000  39.4317  23389   7680  2568080417
 d500-02  500  10  1800.0004   724.1776    1.9326   64.0541  0.0000  39.3711  23329   7612  1974960059
 d500-02  500  10  1800.0004   154.3163    0.9862   54.8122  0.0000  39.4317  23166   7496  1391135143
 d500-02  500  10  1800.0004   267.2927    2.1216   58.4487  0.0000  39.4317  23342   7663  3085313657
 d500-02  500  10  1800.0005   656.7245    1.7414   53.9666  0.0000  39.4317  23264   7468  1854531632
 d500-02  500  10  1800.0005   623.8935    2.5540   56.0761  0.0000  39.4082  23489   7800  1759745315
 d500-02  500  10  1800.0004   965.6241    2.7133   51.4875  0.0000  39.4317  23455   7749  1561825477
 d500-02  500  10  1800.0004   429.3370    1.1524   47.2054  0.0000  39.4317  23417   7808  3801515843
 d500-03  500  10  1800.0003   362.7840    2.5111   68.1270  0.0000  48.0881  19257     74   301377271
 d500-03  500  10  1800.0003  1063.2686    2.7817   64.0018  0.0000  47.5683  19295     89  1128860725
 d500-03  500  10  1800.0012   939.4630    4.6050   46.4268  0.0000  44.9075  19243     85   535297849
 d500-03  500  10  1800.0003   536.3652    2.0044   57.5944  0.0000  51.4798  19383     77  2894351640
 d500-03  500  10  1800.0003   899.9838    4.1284   55.2969  0.0000  44.9075  19221    102   922783814
 d500-03  500  10  1800.0003   615.3710    2.2219   65.1204  0.0000  51.6304  19309     85  1545124560
