instance    n   k       time        ttb  cons_bal  cons_cmp     bal       cmp    repl    feas        seed
DT500-01  500  10  1800.0029     2.2167    0.4203  275.6838  0.0000  198.1079  104199  104198  2707059789
DT500-01  500  10  1800.0025     7.9039    0.7891  262.2058  0.0000  198.1079  103900  103898  1022104378
DT500-01  500  10  1800.0014     6.2977    2.1702  241.3843  0.0000  198.1079  103899  103898  2287902959
DT500-01  500  10  1800.0013    21.3626    0.6973  265.9864  0.0000  198.1079  103401  103398  3093016714
DT500-01  500  10  1800.0014     0.6421    1.0161  312.8969  0.0000  198.1079  103701  103700  1577180790
DT500-01  500  10  1800.0016    10.0070    2.1092  236.4176  0.0000  198.1079  103504  103502  2547659725
DT500-01  500  10  1800.0013     0.5582    1.2897  248.6861  0.0000  198.1079  104237  104235  2926106961
DT500-01  500  10  1800.0013    18.4300    2.7836  287.5291  0.0000  198.1079  103038  103038   577650121
DT500-01  500  10  1800.0013    12.1778    0.6252  241.3843  0.0000  198.1079  103352  103350   266996819
DT500-01  500  10  1800.0014     2.6515    0.9216  343.4469  0.0000  198.1079  104628  104626  3103846904
DT500-02  500  10  1800.0015    52.0843    2.3734  246.4219  0.0000  195.1772  114227  114223   870226527
DT500-02  500  10  1800.0014    76.0459    1.6788  253.6553  0.0000  195.1772  114125  114122  1953197094
DT500-02  500  10  1800.0015     8.9499    2.8977  297.2814  0.0000  195.1772  113913  113906  1363479636
DT500-02  500  10  1800.0014    39.0530    1.7499  243.9064  0.0000  195.1772  113792  113791  2347568953
DT500-02  500  10  1800.0014    43.0151    2.1097  263.2996  0.0000  195.1772  113112  113111  3443789389
DT500-02  500  10  1800.0014    36.4858    3.5829  303.5383  0.0000  195.1772  115058  115054  2009753838
DT500-02  500  10  1800.0015    10.7543    1.9419  260.1080  0.0000  195.1772  115258  115254  1111795478
DT500-02  500  10  1800.0016   139.5614    1.7642  270.0411  0.0000  195.1772  114709  114707  1739836246
DT500-02  500  10  1800.0031    78.9444    1.4263  251.4060  0.0000  195.1772  114390  114385  1221016499
DT500-02  500  10  1800.0014     5.0472    2.4285  264.3123  0.0000  195.1772  114731  114728   793344547
DT500-03  500  10  1800.0009     6.4534    2.0072  330.1408  0.0000  194.7464   66762   66760  1959698821
DT500-03  500  10  1800.0009     9.8384    0.8887  226.7354  0.0000  194.7464   67031   67029  2251127675
DT500-03  500  10  1800.0009     8.9428    0.6489  309.9037  0.0000  194.7464   67021   67018  1263396464
DT500-03  500  10  1800.0008    10.5095    0.5764  246.3814  0.0000  194.7464   66718   66713  1273746078
DT500-03  500  10  1800.0019     3.0661    0.3633  290.3922  0.0000  194.7464   66912   66910  2980412290
DT500-03  500  10  1800.0009     6.5187    1.6594  283.2632  0.0000  194.7464   66987   66984    18625908
DT500-03  500  10  1800.0009     4.5843    0.0924  285.1419  0.0000  194.7464   67200   67197  1057074950
