              instance      n    k       time        ttb  cons_bal   cons_cmp  bal       cmp   repl   feas        seed
    del-n1000-k5-s2292   1000    5  1800.0005   204.7905    0.4325  1032.9043    0  614.9066  25554  25517   209994673
    del-n1000-k5-s2292   1000    5  1800.0022  1644.0926     0.181  1022.7052    0  612.8642  25762  25728   521017394
    del-n1000-k5-s2292   1000    5  1800.0005    39.4708    0.4346  1032.9043    0  613.5288  25364  25335    21565072
    del-n1000-k5-s2292   1000    5  1800.0005   875.9547    0.4165   1011.828    0  614.9066  25394  25358  1035501669
    del-n1000-k5-s2292   1000    5  1800.0004   256.5445    0.3721   1011.828    0  614.9066  25536  25495  2231473345
    del-n1000-k5-s2292   1000    5  1800.0004  1080.1137     0.425  1090.4598    0  613.5288  25846  25804  3207465762
    del-n1000-k5-s2292   1000    5  1800.0003  1660.9295    0.3721   1011.828    0  614.9066  25457  25423  2461509077
    del-n1000-k5-s2292   1000    5  1800.0005    83.9066    0.4165   1011.828    0  614.9066  25538  25509   921414296
    del-n1000-k5-s2292   1000    5  1800.0005  1526.9314    0.3721   1011.828    0  614.9066  25604  25568  1115142311
    del-n1000-k5-s2292   1000    5  1800.0005   445.5169    0.3721   1011.828    0  614.9066  25625  25582  1084687620
   del-n1000-k5-s33335   1000    5  1800.0005     2.4458     0.179   770.0947    0  610.6529  20301  19993  3219806183
   del-n1000-k5-s33335   1000    5  1800.0003     4.0248    0.7625  1065.9641    0  610.6529  20115  19760  2416480335
   del-n1000-k5-s33335   1000    5  1800.0004     6.5381     0.048   718.7607    0  610.6529  20292  19955  1227957545
   del-n1000-k5-s33335   1000    5  1800.0065     1.1075     0.627   799.0005    0  610.6529  20207  19884  1201360613
   del-n1000-k5-s33335   1000    5  1800.0005     0.5495    0.0298  1048.2092    0  610.6529  20149  19808  2139443833
   del-n1000-k5-s33335   1000    5  1800.0005     0.4704    0.0344   832.7487    0  610.6529  20038  19691  3588118768
   del-n1000-k5-s33335   1000    5  1800.0004     1.9379    0.0181  1076.3336    0  610.6529  19876  19538  2051269095
   del-n1000-k5-s33335   1000    5  1800.0003     2.8056    0.0326    775.818    0  610.6529  20039  19683  2630280429
   del-n1000-k5-s33335   1000    5  1800.0005     1.5428    0.0459   832.7487    0  610.6529  20195  19884  2228578061
   del-n1000-k5-s33335   1000    5  1800.0004     0.4868    0.7046  1020.3858    0  610.6529  20219  19884  4073684502
