              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp   repl   feas        seed
   del-n1000-k10-s8165   1000   10  1800.0006  1683.6007    0.2762  1041.3142  0.0000  423.5705  12299   7714  1215398124
   del-n1000-k10-s8165   1000   10  1800.0004  1708.7726    0.1905   920.2531  0.0000  426.5314  12310   7715  3078208858
   del-n1000-k10-s8165   1000   10  1800.0006   921.2013    1.3463   920.2531  0.0000  431.8667  12269   7660   542909365
   del-n1000-k10-s8165   1000   10  1800.0006   950.9392    1.2637  1174.5465  0.0000  423.5705  12415   7789  2621451765
   del-n1000-k10-s8165   1000   10  1800.0009   912.7834    0.4646   920.2531  0.0000  424.1535  11566   7238   430866226
   del-n1000-k10-s8165   1000   10  1800.0004   422.3344    3.5934   811.4055  0.0000  423.1868  11610   7241  1942311725
   del-n1000-k10-s8165   1000   10  1800.0005  1450.5677    0.1103   920.2531  0.0000  424.1535  11642   7328  4225219998
   del-n1000-k10-s8165   1000   10  1800.0006    39.2825    3.1777   920.2531  0.0000  435.7072  11565   7198  1208732421
   del-n1000-k10-s8165   1000   10  1800.0003   453.0345    0.5675   920.2531  0.0000  433.5092  11599   7263  2677067856
   del-n1000-k10-s8165   1000   10  1800.0005  1077.4977    0.5117   734.4204  0.0000  423.5473  11699   7426  3747915206
  del-n1000-k16-s51680   1000   16  1800.0004   154.1504    1.5871   788.2454  0.0000  335.4155  13823  10084  3723313440
  del-n1000-k16-s51680   1000   16  1800.0007  1074.2157    0.3296   820.0479  0.0000  334.8370  13834  10088  4148575534
  del-n1000-k16-s51680   1000   16  1800.0024  1083.8597    2.1285   866.6732  0.0000  343.1216   8490   6205   999632138
  del-n1000-k16-s51680   1000   16  1800.0020  1636.1493    2.5793   675.9191  0.0000  340.0489   8616   6391  2473632723
  del-n1000-k16-s51680   1000   16  1800.0005   158.1001    1.1527   793.9695  0.0000  339.5928   8491   6183   866302994
  del-n1000-k16-s51680   1000   16  1800.0031  1269.1047    0.7316   879.4739  0.0000  336.5858   8609   6306  1137155285
  del-n1000-k16-s51680   1000   16  1800.0016  1399.7150    1.3065   671.0188  0.0000  334.2332   7027   5151  1784666768
  del-n1000-k16-s51680   1000   16  1800.0005  1238.3656    1.6221   612.6060  0.0000  338.9614   6968   5079  3847785067
  del-n1000-k16-s51680   1000   16  1800.0063  1788.6432    1.4340   793.9695  0.0000  335.4155   7085   5161  2316587479
  del-n1000-k16-s51680   1000   16  1800.0063    93.8686    0.9646   863.1465  0.0000  334.8576   7026   5137  3161878454
   del-n1000-k5-s33335   1000    5  1800.0022  1346.1574    0.4916   955.9856  0.0000  613.9061  30765  30410  4196858637
   del-n1000-k5-s33335   1000    5  1800.0059  1689.0460    0.5094  1185.2329  0.0000  622.5866  31212  30850  2328288841
   del-n1000-k5-s33335   1000    5  1800.0154    85.1303    0.0410   971.3195  0.0000  623.7112  31016  30673  4167822220
   del-n1000-k5-s33335   1000    5  1800.0007  1361.3810    0.0363   971.3195  0.0000  623.7112  30341  29971  3791012825
   del-n1000-k5-s33335   1000    5  1800.0009  1780.9853    0.0374   971.3195  0.0000  616.0623  42116  41610  2734380095
   del-n1000-k5-s33335   1000    5  1800.0012    98.1752    0.4757  1185.2329  0.0000  622.5866  41903  41406  2371769447
   del-n1000-k5-s33335   1000    5  1800.0009   325.1976    0.0331   971.3195  0.0000  616.0276  42243  41756  1426779798
   del-n1000-k5-s33335   1000    5  1800.0010  1460.2262    0.4116  1183.7787  0.0000  612.0465  41950  41457  3733391673
   del-n1000-k5-s33335   1000    5  1800.0025   821.5124    0.4377  1185.2329  0.0000  610.6529  54563  53936  4174989277
   del-n1000-k5-s33335   1000    5  1800.0010   567.7895    0.0407   955.9856  0.0000  623.7112  54157  53512  3920918174
del-n10000-k100-s46796  10000  100  1800.0021  1409.8223   22.1734   401.6238  0.0000  189.2588   1759    589  1895581804
del-n10000-k100-s46796  10000  100  1800.0037  1597.9367   14.8666   751.0299  0.0000  188.6525   1741    580  2420332667
del-n10000-k100-s46796  10000  100  1800.0023  1573.0893   20.9433   475.0648  0.0000  218.1269   1759    558   747308143
del-n10000-k100-s46796  10000  100  1800.0023   551.0883   10.7999   475.0648  0.0000  236.8756   1730    590  3868150052
del-n10000-k100-s46796  10000  100  1800.0023    41.0612   12.9950   458.4545  0.0000  252.3900   1710    544  1297485434
del-n10000-k100-s46796  10000  100  1800.1321  1481.9432   19.5284   392.8002  0.0000  214.7106   1728    574   797094974
del-n10000-k100-s46796  10000  100  1800.0026   780.9806   10.5341   795.7859  0.0000  239.8199   1714    555  2590488695
del-n10000-k100-s46796  10000  100  1800.0021  1044.2619   19.7660   639.0692  0.0000  213.6921   1716    577   260444293
del-n10000-k100-s46796  10000  100  1800.0023    66.2755   23.7724   595.7820  0.0000  218.2740   1745    613  2028279866
del-n10000-k100-s46796  10000  100  1800.0025  1721.0734   14.4438   475.5896  0.0000  209.6021   1729    544   571660622
del-n10000-k160-s41175  10000  160  1800.0027  1424.8255   24.2987   359.0049  0.0000  312.0842   1295      4  2520977715
del-n10000-k160-s41175  10000  160  1800.0026  1521.4749   23.2534   380.3373  0.0000  247.3590   1307      5  2210406517
del-n10000-k160-s41175  10000  160  1800.0026   523.7200   23.4742   416.7284  0.0000  253.9600   1306      5  3524576266
del-n10000-k160-s41175  10000  160  1800.0027  1656.0334   46.7860   330.4246  0.0000  268.3195   1292      6   996088959
del-n10000-k160-s41175  10000  160  1800.0005   142.4961   30.4004   382.7122  0.0000  235.6393   1288     10   671312348
del-n10000-k160-s41175  10000  160  1800.0026  1099.6957   25.0606   441.7149  0.0000  274.1161   1267      8  1005132861
del-n10000-k160-s41175  10000  160  1800.1415  1297.1336   22.3038   351.1055  0.0000  214.6293   1284      8   510998188
del-n10000-k160-s41175  10000  160  1800.0749  1668.9459   19.3030   433.8355  0.0000  218.8519   1303     10  1406434460
del-n10000-k160-s41175  10000  160  1800.0029  1150.6938   28.7830   311.5119  0.0000  182.5420   1294      6  3923190555
del-n10000-k160-s41175  10000  160  1800.0027   579.8410   24.5648   403.9843  0.0000  303.3779   1293      2  4050803479
  del-n10000-k50-s4699  10000   50  1800.0023   121.3089    8.6502   461.2561  0.0000  281.0538   3126   3030  1273071607
  del-n10000-k50-s4699  10000   50  1800.0019   203.2133   11.6577   502.5175  0.0000  282.4535   3149   3050  3678821650
  del-n10000-k50-s4699  10000   50  1800.0018  1356.8219    9.4437   416.3787  0.0000  280.4695   3158   3069  4015013562
  del-n10000-k50-s4699  10000   50  1800.0336   727.8731    4.6227   525.3281  0.0000  266.1613   3100   2988  3545253802
