              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp    repl    feas        seed
   del-n1000-k10-s8165   1000   10  1800.0022   882.9784    0.2899   812.2023  0.0000  409.9947  120706   56797  3554958111
   del-n1000-k10-s8165   1000   10  1800.0021   655.6180    0.7996   534.9285  0.0000  410.1280  120697   56878   478855724
   del-n1000-k10-s8165   1000   10  1800.0022   604.3465    0.4662   800.0527  0.0000  410.0319  120693   56865  4249525113
   del-n1000-k10-s8165   1000   10  1800.0028  1621.5533    0.1993   653.5099  0.0000  410.1280  120337   56355   669721032
   del-n1000-k10-s8165   1000   10  1800.0028   588.5705    0.5132   733.9187  0.0000  409.9947  120563   56400  2326349123
   del-n1000-k10-s8165   1000   10  1800.0022  1747.1332    0.5092   688.5621  0.0000  410.3533  121103   56968  1589652951
   del-n1000-k10-s8165   1000   10  1800.0025  1050.9652    0.6110   645.6276  0.0000  410.3533  120188   56813  4095835715
   del-n1000-k10-s8165   1000   10  1800.0022   486.9623    0.2121   493.7444  0.0000  409.9947  119771   56372  2665241231
   del-n1000-k10-s8165   1000   10  1800.0048   148.0536    0.9089   757.0890  0.0000  410.3533  120404   56179  2392610722
   del-n1000-k10-s8165   1000   10  1800.0022  1461.7690    0.7228   694.8832  0.0000  410.3533  120746   56807  2441661012
  del-n1000-k16-s51680   1000   16  1800.0022  1231.2952    0.6338   618.3870  0.0000  328.9539  110632   31371  3874841689
  del-n1000-k16-s51680   1000   16  1800.0020  1784.8759    2.1003   778.6179  0.0000  328.1304  110193   30913  3773567870
  del-n1000-k16-s51680   1000   16  1800.0019   209.5229    0.3788   826.1962  0.0000  328.0074  110635   31219    10236703
  del-n1000-k16-s51680   1000   16  1800.0020   451.7649    4.1260   831.6811  0.0000  328.0074  110366   31191  3021364291
  del-n1000-k16-s51680   1000   16  1800.0020  1306.6125    1.9653   531.2965  0.0000  332.3248  110688   31452  4258897524
  del-n1000-k16-s51680   1000   16  1800.0019  1707.2737    0.5765   431.5651  0.0000  335.5452  110555   31069   769852936
  del-n1000-k16-s51680   1000   16  1800.0019   948.9733    1.7353   826.1962  0.0000  329.8183  110366   31013  2672057648
  del-n1000-k16-s51680   1000   16  1800.0019    92.9801    2.5446   761.6611  0.0000  327.7469  110559   31284   274397160
  del-n1000-k16-s51680   1000   16  1800.0065  1147.6537    1.0270   654.9810  0.0000  330.0623  110651   31258    24140589
  del-n1000-k16-s51680   1000   16  1800.0020   245.0491    1.1993   414.0133  0.0000  334.1410  110546   31174  2942235340
   del-n1000-k5-s33335   1000    5  1800.0065     0.1892    0.0171   772.3070  0.0000  610.6529  113494  111394  2846730318
   del-n1000-k5-s33335   1000    5  1800.0047     1.0778    0.0368   772.3070  0.0000  610.6529  113547  111454   427127640
   del-n1000-k5-s33335   1000    5  1800.0083     4.7101    0.0368   772.3070  0.0000  610.6529  113667  111681  1909351223
   del-n1000-k5-s33335   1000    5  1800.0016     0.7993    0.0447   775.8180  0.0000  610.6529  113498  111452   556315676
   del-n1000-k5-s33335   1000    5  1800.0022     3.2187    0.0368   772.3070  0.0000  610.6529  113706  111691  3008031640
   del-n1000-k5-s33335   1000    5  1800.0091     4.7294    0.2467   867.0790  0.0000  610.6529  113653  111545  1827751398
   del-n1000-k5-s33335   1000    5  1800.0020     4.3519    0.0447   775.8180  0.0000  610.6529  113825  111724   756796780
   del-n1000-k5-s33335   1000    5  1800.0016     1.6281    0.0447   775.8180  0.0000  610.6529  113692  111570   385427720
   del-n1000-k5-s33335   1000    5  1800.0067     0.4042    0.0447   775.8180  0.0000  610.6529  113851  111779  1348471213
   del-n1000-k5-s33335   1000    5  1800.0058     3.7546    0.0447   775.8180  0.0000  610.6529  114018  111924  2194317031
del-n10000-k100-s46796  10000  100  1800.0015   367.0853   15.6910   296.2742  0.0000  295.0410    4826       0  3280887345
del-n10000-k100-s46796  10000  100  1800.0014  1449.2007   16.0783   380.8972  0.0005  320.0060    4825       0  4258860257
del-n10000-k100-s46796  10000  100  1800.0016  1764.2304   15.6842   478.6336  0.0008  664.6489    4701       0   953095857
del-n10000-k100-s46796  10000  100  1800.0289   869.8219   12.8304   499.1464  0.0022  334.2604    4707       0  1267106336
del-n10000-k100-s46796  10000  100  1800.1061  1345.7338   17.8824   615.3100  0.0010  380.0530    4684       0  2744413093
del-n10000-k100-s46796  10000  100  1800.0016   230.3736    9.7678   563.1070  0.0017  328.9438    4694       0  3635178610
