              instance      n    k     time      ttb  cons_bal  cons_cmp          bal      cmp  repl  feas        seed
    del-n1000-k5-s2292   1000    5     1800  109.836        NA        NA            0  621.482    98    98  4045205802
    del-n1000-k5-s2292   1000    5  1800.02  200.175        NA        NA            0  624.421    98    98   554347091
    del-n1000-k5-s2292   1000    5  1800.04  1065.54        NA        NA            0  624.289    98    98  2388381587
    del-n1000-k5-s2292   1000    5  1800.02  1747.09        NA        NA            0  624.289    97    97    48951676
    del-n1000-k5-s2292   1000    5  1800.01  820.733        NA        NA            0  626.838    98    98  4137869862
    del-n1000-k5-s2292   1000    5  1800.02  973.099        NA        NA            0   620.97    99    99  2548609157
    del-n1000-k5-s2292   1000    5  1800.02  1233.21        NA        NA            0  622.179    98    98  1593690549
    del-n1000-k5-s2292   1000    5  1800.02    270.5        NA        NA            0  624.289    99    99  3416580481
    del-n1000-k5-s2292   1000    5  1800.03  873.303        NA        NA            0  624.289    98    98  3881646212
    del-n1000-k5-s2292   1000    5  1800.02  1604.63        NA        NA            0  623.798    98    98  3522880446
   del-n1000-k5-s33335   1000    5  1800.01   1262.8        NA        NA            0  612.022    97    97  1942693833
   del-n1000-k5-s33335   1000    5  1800.01  1245.69        NA        NA            0    614.7    98    98   255017612
   del-n1000-k5-s33335   1000    5  1800.01  1089.22        NA        NA            0  610.653    97    97  1443989503
   del-n1000-k5-s33335   1000    5     1800  900.009        NA        NA            0  616.756    98    98  4145284624
   del-n1000-k5-s33335   1000    5  1800.02  1562.61        NA        NA            0  612.046    97    97  3855395712
   del-n1000-k5-s33335   1000    5  1800.01   1525.2        NA        NA            0   611.93    97    97  2937084938
   del-n1000-k5-s33335   1000    5  1800.02  19.2101        NA        NA            0  611.691    98    98  3005062763
   del-n1000-k5-s33335   1000    5  1800.02  587.108        NA        NA            0    614.7    98    98  3051811608
   del-n1000-k5-s33335   1000    5  1800.03  551.402        NA        NA            0  612.046    97    97  3937099204
   del-n1000-k5-s33335   1000    5     1800  1766.82        NA        NA            0  616.908    97    97    98847325
   del-n1000-k5-s54458   1000    5  1800.02  277.181        NA        NA            0  612.271    92    92   846708339
   del-n1000-k5-s54458   1000    5  1800.01  914.138        NA        NA            0  612.271    93    93    91590979
   del-n1000-k5-s54458   1000    5     1800  1663.33        NA        NA            0  612.034    92    92  1500122348
   del-n1000-k5-s54458   1000    5  1800.03  232.794        NA        NA            0  612.271    91    91  4041082606
   del-n1000-k5-s54458   1000    5  1800.01  1082.06        NA        NA            0  623.316    92    92    34574220
   del-n1000-k5-s54458   1000    5  1800.01   376.18        NA        NA            0  614.008    92    92    65283040
   del-n1000-k5-s54458   1000    5  1800.01  1247.46        NA        NA            0  612.271    92    92  1553455516
   del-n1000-k5-s54458   1000    5  1800.01  175.593        NA        NA            0  614.946    91    91  1361492927
   del-n1000-k5-s54458   1000    5  1800.01  1465.82        NA        NA            0  618.764    93    93  3660563604
   del-n1000-k5-s54458   1000    5  1800.01  1395.73        NA        NA            0  617.798    93    93  2123334020
   del-n1000-k5-s59721   1000    5  1800.01  443.235        NA        NA            0  613.258    98    98  3148382874
   del-n1000-k5-s59721   1000    5  1800.01  1190.83        NA        NA            0  618.422    98    98   359032088
   del-n1000-k5-s59721   1000    5     1800  1037.36        NA        NA            0  618.422    98    98  1639238737
   del-n1000-k5-s59721   1000    5  1800.02  1513.03        NA        NA            0  617.069    97    97  3741953058
   del-n1000-k5-s59721   1000    5  1800.03  1047.66        NA        NA            0  616.368    97    97  3575721605
   del-n1000-k5-s59721   1000    5     1800  181.746        NA        NA            0  615.831    97    97  1947541046
   del-n1000-k5-s59721   1000    5  1800.01  1263.27        NA        NA            0  616.368    98    98  1307686828
   del-n1000-k5-s59721   1000    5  1800.02  1523.59        NA        NA            0  614.223    99    99  2978525191
   del-n1000-k5-s59721   1000    5     1800  383.234        NA        NA            0  610.652    98    98  2187730205
   del-n1000-k5-s59721   1000    5  1800.03  275.171        NA        NA            0  614.223    97    97  4167060793
  del-n1000-k10-s20090   1000   10  1800.01  141.559        NA        NA            0  458.356   110   110   710794454
  del-n1000-k10-s20090   1000   10  1800.01  62.1476        NA        NA            0  450.535   110   110   837534765
  del-n1000-k10-s20090   1000   10  1800.01  1078.43        NA        NA            0  446.939   109   109  2446821297
  del-n1000-k10-s20090   1000   10  1800.01  897.164        NA        NA            0  457.357   110   110  2415291751
  del-n1000-k10-s20090   1000   10  1800.01  439.961        NA        NA            0   449.81   101   101  3563727800
  del-n1000-k10-s20090   1000   10  1800.01  582.699        NA        NA            0  448.928   101   101  1396983859
  del-n1000-k10-s20090   1000   10  1800.01  1512.97        NA        NA            0  448.868   101   101  4177975424
  del-n1000-k10-s20090   1000   10  1800.02  934.298        NA        NA            0  446.712   101   101  1052618510
  del-n1000-k10-s20090   1000   10  1800.01  1390.91        NA        NA            0  449.217   100   100  2294363357
  del-n1000-k10-s20090   1000   10  1800.01  443.035        NA        NA            0  455.038   101   101  3012518306
