instance    n   k     time      ttb  cons_bal  cons_cmp  bal      cmp  repl  feas        seed
 d500-01  500  10     1800  404.332        NA        NA    0  41.4392   384   384  3753511553
 d500-01  500  10     1800  1671.35        NA        NA    0  41.7724   385   384  2086587533
 d500-01  500  10     1800  27.4672        NA        NA    0  41.8354   384   383  1955899764
 d500-01  500  10     1800  1230.51        NA        NA    0  41.4086   383   383  1406271666
 d500-01  500  10     1800  1744.41        NA        NA    0  40.9505   385   385   316418590
 d500-01  500  10     1800  515.626        NA        NA    0  41.8907   385   385   864566695
 d500-01  500  10  1800.01  112.972        NA        NA    0  41.1549   385   385  3940489194
 d500-01  500  10  1800.01  1139.66        NA        NA    0  42.0388   385   385  1815742899
 d500-01  500  10     1800   1330.4        NA        NA    0   40.914   372   371  3959578836
 d500-01  500  10     1800  1093.95        NA        NA    0  41.5106   371   370   559473005
 d500-02  500  10     1800  891.835        NA        NA    0  41.9848   362   361  2527403767
 d500-02  500  10     1800  490.535        NA        NA    0  42.3098   360   360  1045139273
 d500-02  500  10     1800  642.146        NA        NA    0  42.0229   373   372  2399033129
 d500-02  500  10     1800  1497.82        NA        NA    0  41.9848   374   373   960085727
 d500-02  500  10     1800  1640.43        NA        NA    0  42.5202   373   373  4208172995
 d500-02  500  10     1800  1735.36        NA        NA    0   42.399   373   372  3443222748
 d500-02  500  10     1800  1206.54        NA        NA    0  42.4924   375   375  4133647507
 d500-02  500  10     1800  1399.71        NA        NA    0  42.3098   375   375  1563330877
 d500-02  500  10  1800.01    344.4        NA        NA    0  42.4924   376   376   352104541
 d500-02  500  10     1800  86.8249        NA        NA    0  40.8121   376   375  3092411450
 d500-03  500  10     1800  1771.48        NA        NA    0  47.4611   358   219  1250734725
 d500-03  500  10     1800  1793.32        NA        NA    0  47.4784   360   223  3863597247
 d500-03  500  10     1800  1418.05        NA        NA    0  47.8853   360   246  4034103292
 d500-03  500  10   1800.1  1024.35        NA        NA    0  46.6795   360   222   363296850
 d500-03  500  10  1800.01  175.005        NA        NA    0  48.4603   361   234  2481719352
 d500-03  500  10     1800  1273.68        NA        NA    0  47.2409   360   244  2470126944
 d500-03  500  10     1800  935.681        NA        NA    0  47.0934   360   219  3756969644
 d500-03  500  10  1800.01  590.512        NA        NA    0  47.9727   360   247  3872483194
 d500-03  500  10     1800   1548.7        NA        NA    0   47.394   361   238  2542836344
 d500-03  500  10  1800.01  543.328        NA        NA    0   46.706   360   246   755410977
 d500-04  500  10     1800  416.966        NA        NA    0  44.6303   361   361  3134712208
 d500-04  500  10     1800   491.75        NA        NA    0  44.6303   362   362  1416743563
