instance    n   k     time      ttb  cons_bal  cons_cmp  bal      cmp  repl  feas        seed
DT500-01  500  10     1800  1736.35        NA        NA    0  209.139   426   426   935440663
DT500-01  500  10     1800  705.012        NA        NA    0  208.003   426   426  3418414413
DT500-01  500  10  1800.01  746.234        NA        NA    0  209.139   426   426  2097491181
DT500-01  500  10     1800   1269.4        NA        NA    0  206.703   426   426   810586426
DT500-01  500  10     1800  148.539        NA        NA    0  204.796   425   425  2740788490
DT500-01  500  10     1800  875.618        NA        NA    0  207.386   425   425  3817548457
DT500-01  500  10     1800  658.603        NA        NA    0  209.139   426   426  3209127346
DT500-01  500  10  1800.01  1448.31        NA        NA    0  208.724   426   426  1018613763
DT500-01  500  10     1800  570.385        NA        NA    0  209.139   427   427  3968898532
DT500-02  500  10     1800  624.441        NA        NA    0  201.704   407   407  4202560110
DT500-01  500  10     1800  812.991        NA        NA    0  206.703   428   428  3599636972
DT500-02  500  10     1800    137.2        NA        NA    0  205.208   408   408  1117064590
DT500-02  500  10     1800  1643.78        NA        NA    0  200.316   408   408  2651351314
DT500-02  500  10     1800  619.875        NA        NA    0  202.495   410   410  1168118235
DT500-02  500  10     1800  762.637        NA        NA    0  202.443   409   409  1968573606
DT500-02  500  10  1800.01  911.539        NA        NA    0  202.443   409   409  1255878704
DT500-02  500  10     1800  1604.32        NA        NA    0  202.443   411   411  3808735753
DT500-02  500  10     1800  900.203        NA        NA    0  201.576   411   411  3905497153
DT500-02  500  10     1800  375.312        NA        NA    0  206.097   412   412  3686082248
DT500-02  500  10  1800.01  517.186        NA        NA    0  205.015   410   410  3140616110
DT500-03  500  10     1800  795.579        NA        NA    0  201.006   417   416  3507853085
DT500-03  500  10     1800  329.939        NA        NA    0  201.523   416   416  1900741892
DT500-03  500  10     1800   1065.7        NA        NA    0  199.029   416   416  2964779665
DT500-03  500  10     1800  531.785        NA        NA    0  198.505   417   417  1731149835
DT500-03  500  10  1800.01  495.613        NA        NA    0  202.616   417   417  3036516003
DT500-03  500  10     1800  727.359        NA        NA    0  202.407   418   418    58896400
DT500-03  500  10  1800.01  240.517        NA        NA    0  202.327   418   418   885956784
DT500-03  500  10     1800  60.3399        NA        NA    0  200.953   418   418  1657366597
DT500-03  500  10     1800  235.435        NA        NA    0  200.554   420   420  3568317369
DT500-03  500  10     1800   373.91        NA        NA    0  202.781   419   419   198443085
DT500-04  500  10     1800  573.546        NA        NA    0  202.234   427   427  2325259370
DT500-04  500  10     1800  665.832        NA        NA    0  203.051   427   427  2588744854
DT500-04  500  10     1800   400.35        NA        NA    0  204.351   427   427  1071939827
DT500-04  500  10     1800  1679.71        NA        NA    0  202.452   427   427    53579466
DT500-04  500  10     1800  1069.97        NA        NA    0   205.76   427   427  3185015816
DT500-04  500  10  1800.06  42.1313        NA        NA    0   202.47   428   428  3639359661
DT500-04  500  10     1800  647.087        NA        NA    0  202.898   428   428   216274090
DT500-04  500  10  1800.03  858.398        NA        NA    0  204.293   428   428  3025393174
DT500-04  500  10     1800  1552.96        NA        NA    0  204.293   428   428  3820134529
DT500-04  500  10     1800  622.293        NA        NA    0  200.447   428   428   684998794
DT500-05  500  10  1800.01  148.008        NA        NA    0  203.036   427   427  2977869321
DT500-05  500  10     1800  1454.88        NA        NA    0  205.271   428   428   946053466
DT500-05  500  10     1800  961.412        NA        NA    0  204.163   427   426  1016648989
DT500-05  500  10  1800.01  1700.92        NA        NA    0  203.917   427   427   128619814
DT500-05  500  10  1800.01   1072.9        NA        NA    0  203.727   429   429  3490012075
DT500-05  500  10     1800   408.44        NA        NA    0  203.727   427   427   957093061
DT500-05  500  10     1800  197.341        NA        NA    0  202.654   429   429  1514839062
DT500-05  500  10     1800  390.033        NA        NA    0  203.917   429   429  4052043658
DT500-05  500  10     1800  1775.87        NA        NA    0  204.105   431   431  3077488454
DT500-05  500  10  1800.01   1434.2        NA        NA    0  202.979   430   430  1411020380
DT500-06  500  10     1800  1279.35        NA        NA    0  206.303   421   421  2003850093
DT500-06  500  10     1800  303.432        NA        NA    0  206.313   422   422  3796478273
DT500-06  500  10     1800  889.293        NA        NA    0  209.878   424   424  3123453975
DT500-06  500  10  1800.01  114.169        NA        NA    0  208.915   424   424  1582521144
DT500-06  500  10     1800  1508.33        NA        NA    0  206.313   424   424  3828469683
DT500-06  500  10  1800.01  1538.91        NA        NA    0  206.303   424   424   769245745
DT500-06  500  10  1800.01  976.243        NA        NA    0  205.349   424   424   384210092
DT500-06  500  10  1800.01   1335.1        NA        NA    0  207.743   424   424  3558001691
DT500-06  500  10  1800.01  1305.34        NA        NA    0  205.472   424   424  2194415682
DT500-06  500  10     1800  978.415        NA        NA    0  206.531   425   425  3494446068
DT500-07  500  10     1800  181.989        NA        NA    0  202.134   444   444  2610208088
DT500-07  500  10     1800   1490.3        NA        NA    0  200.617   444   444  3379063191
DT500-07  500  10     1800  85.1764        NA        NA    0  201.997   444   444  1554358878
DT500-07  500  10     1800   214.69        NA        NA    0  202.735   445   445  3855687822
DT500-07  500  10     1800  1251.28        NA        NA    0  202.735   444   444  3340457735
DT500-07  500  10     1800  1608.79        NA        NA    0   202.34   444   444   392200242
DT500-07  500  10     1800  1297.86        NA        NA    0  199.106   443   443  1228628086
DT500-07  500  10  1800.01  1399.46        NA        NA    0  201.541   444   444   552086042
DT500-07  500  10     1800  512.732        NA        NA    0  200.617   446   446   592235046
DT500-07  500  10     1800  794.417        NA        NA    0  202.735   446   446  1491706825
DT500-08  500  10     1800  431.521        NA        NA    0  205.068   434   434  3006482940
DT500-08  500  10  1800.01  352.381        NA        NA    0  205.818   433   433  2592359622
DT500-08  500  10     1800   941.32        NA        NA    0  203.988   432   432  2378249787
DT500-08  500  10     1800  776.621        NA        NA    0  201.652   433   433  3915704464
DT500-08  500  10     1800  1621.43        NA        NA    0  202.716   433   433  1335680667
DT500-08  500  10     1800  215.813        NA        NA    0  205.068   433   433  1510502509
DT500-08  500  10  1800.01  145.314        NA        NA    0  206.107   434   434  1211955966
DT500-08  500  10     1800  116.106        NA        NA    0  207.051   434   434  1381469029
DT500-08  500  10     1800  1794.46        NA        NA    0  204.098   434   434   466713770
DT500-08  500  10     1800  452.922        NA        NA    0  199.196   434   434  3334473160
DT500-09  500  10  1800.01  86.1942        NA        NA    0  201.894   440   440  3095422950
DT500-09  500  10     1800  750.478        NA        NA    0  201.912   441   441  2352846087
DT500-09  500  10     1800  1280.74        NA        NA    0  203.176   439   439  4047837153
DT500-09  500  10     1800  49.2304        NA        NA    0  201.894   441   441  3228677241
