              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp   repl   feas        seed
   del-n1000-k10-s8165   1000   10  1800.0004  1063.1704    0.3079   798.7810  0.0000  422.9343  11935   6651  3455397032
   del-n1000-k10-s8165   1000   10  1800.0004  1575.6530    0.1579   719.1594  0.0000  417.5304  11961   6642  1260342579
   del-n1000-k10-s8165   1000   10  1800.0083   368.8653    0.2439   642.7796  0.0000  420.4466  11974   6659   910701427
   del-n1000-k10-s8165   1000   10  1800.0003  1122.1046    0.1460   668.9378  0.0000  416.8421  12000   6635  3470239365
   del-n1000-k10-s8165   1000   10  1800.0004  1248.2863    0.5784   554.2575  0.0000  418.5003  12019   6621  2378387942
   del-n1000-k10-s8165   1000   10  1800.0034   189.4662    0.3792   546.7742  0.0000  423.1191  12105   6622    89803332
   del-n1000-k10-s8165   1000   10  1800.0004   431.4139    0.3964   978.6159  0.0000  425.2979  12017   6601  3686678801
   del-n1000-k10-s8165   1000   10  1800.0004  1381.8378    0.3249   973.3620  0.0000  418.5562  12129   6636  1965872220
   del-n1000-k10-s8165   1000   10  1800.0004    35.1623    0.6178   578.0890  0.0000  423.1191  11959   6631   411745729
   del-n1000-k10-s8165   1000   10  1800.0004   342.0969    0.8313   546.7742  0.0000  427.4161  12104   6695  3507818637
  del-n1000-k16-s51680   1000   16  1800.0003   537.2177    1.0336   703.1244  0.0000  354.1943  10533   5202  3180502953
  del-n1000-k16-s51680   1000   16  1800.0003    85.1299    1.8082   779.0202  0.0000  337.1464  10539   5316  2394779609
  del-n1000-k16-s51680   1000   16  1800.0003   393.6811    1.7761   500.1125  0.0000  338.9105  10498   5271  2147769676
  del-n1000-k16-s51680   1000   16  1800.0060   972.9347    2.6632   730.9620  0.0000  353.2798  10476   5211   115447394
  del-n1000-k16-s51680   1000   16  1800.0063  1409.3020    2.8868   465.2553  0.0000  345.0414  10460   5192  1000578383
  del-n1000-k16-s51680   1000   16  1800.0004   769.7253    0.7376   492.0761  0.0000  346.8011  10589   5177  1777982226
  del-n1000-k16-s51680   1000   16  1800.0003   522.3284    0.8222   516.5666  0.0000  341.8369  10479   5195  3180139739
  del-n1000-k16-s51680   1000   16  1800.0004  1707.0387    0.7727   567.7675  0.0000  346.0915  10480   5196  3565826562
  del-n1000-k16-s51680   1000   16  1800.0004  1498.0428    3.1368   463.8625  0.0000  353.1538  10526   5176  2362693394
  del-n1000-k16-s51680   1000   16  1800.0004   209.7755    2.6590   569.0021  0.0000  356.9805  10535   5151   705865674
   del-n1000-k5-s33335   1000    5  1800.0003    29.7451    0.0447   775.8180  0.0000  610.6529  12762  12564   892227136
   del-n1000-k5-s33335   1000    5  1800.0002     1.6736    0.0194   772.3070  0.0000  610.6529  12806  12604  1057967860
   del-n1000-k5-s33335   1000    5  1800.0110    65.2768    0.0178   775.8180  0.0000  610.6529  12817  12628  1752657199
   del-n1000-k5-s33335   1000    5  1800.0003     7.9754    0.0447   775.8180  0.0000  610.6529  12780  12615  2316856406
   del-n1000-k5-s33335   1000    5  1800.0004    29.8291    0.0447   775.8180  0.0000  610.6529  12719  12538   431443888
   del-n1000-k5-s33335   1000    5  1800.0003     0.2239    0.0187   775.8180  0.0000  610.6529  12708  12517   976134218
   del-n1000-k5-s33335   1000    5  1800.0004    19.5086    0.0447   775.8180  0.0000  610.6529  12750  12584  2230270359
   del-n1000-k5-s33335   1000    5  1800.0004    11.7720    0.0171   772.3070  0.0000  610.6529  12780  12564  3584686465
   del-n1000-k5-s33335   1000    5  1800.0003     9.1588    0.0080   676.4170  0.0000  610.6529  12814  12647  2842560429
   del-n1000-k5-s33335   1000    5  1800.0004    85.3875    0.0447   775.8180  0.0000  610.6529  12861  12688   225489014
del-n10000-k100-s46796  10000  100  1800.0003   583.1699   11.7097   236.6983  0.0000  224.8533   1676    469  4207949372
del-n10000-k100-s46796  10000  100  1800.1264  1300.7906   22.3346   224.5567  0.0000  222.2826   1675    439  3126545327
del-n10000-k100-s46796  10000  100  1800.0004   604.2379   25.1929   315.9243  0.0000  232.6324   1658    468  3174406500
del-n10000-k100-s46796  10000  100  1800.0003   347.4328   23.6237   312.0296  0.0000  239.5185   1647    462  4260442673
del-n10000-k100-s46796  10000  100  1800.0005  1488.8131   12.7973   355.4140  0.0000  220.5040   1640    451  2930856815
del-n10000-k100-s46796  10000  100  1800.0002  1102.0218   15.3373   302.9074  0.0000  226.3275   1660    469  2413867787
del-n10000-k100-s46796  10000  100  1800.0003   938.3461   16.5895   278.9153  0.0000  214.4766   1632    433  1037891595
del-n10000-k100-s46796  10000  100  1800.0002  1045.0012   19.7079   234.1507  0.0000  233.8110   1633    403  1413207611
del-n10000-k100-s46796  10000  100  1800.0002   653.9520   11.7804   290.6775  0.0000  232.7326   1653    488  3178322038
del-n10000-k100-s46796  10000  100  1800.0004   754.5977   13.2918   243.5932  0.0000  227.6440   1649    454  1988777148
del-n10000-k160-s41175  10000  160  1800.0003  1176.4051   33.1397   228.0270  0.0000  247.2753   1436      6  2043409456
del-n10000-k160-s41175  10000  160  1800.0003  1029.5621   38.7904   316.6099  0.0001  323.5135   1427      0  2251998612
del-n10000-k160-s41175  10000  160  1800.0004   533.4753   32.6525   322.6311  0.0000  323.8309   1439      1    50404837
del-n10000-k160-s41175  10000  160  1800.1387   591.8668   37.1315   302.2850  0.0000  291.4580   1440      4  2700997025
